sim,method,psi1_mean,psi1_var,psi2_mean,psi2_var
41,true,0.9290500613971666,1.2736613440357902e-4,-0.48632618573910696,2.5328935183845114e-4
42,bfal,0.8830448565730841,2.5351028412703617e-4,-0.4216909666301049,0.0010890850407982652
42,gfal,0.9348512974409138,1.2747854896001104e-4,-0.43697136381410434,2.571067066840007e-4
42,qfal,0.9311979032780797,2.2469336708515945e-4,-0.5011740326771259,8.825584399786385e-4
42,super,0.9675258493306641,1.2126894115059889e-4,-0.5445240510417034,2.3242205544924012e-4
42,true,0.9345466731495374,1.277173473948944e-4,-0.49993798737835754,2.54123057970881e-4
43,bfal,0.8549919517013042,2.5591388056163807e-4,-0.42068294309285753,0.0011006183383230075
43,gfal,0.9229992424239077,1.244456412978752e-4,-0.4397752544928755,2.593553855233203e-4
43,qfal,0.9205736219778303,2.2179070524060092e-4,-0.5130837798154827,8.682896785806438e-4
43,super,1.0019314465669986,1.1827539686212511e-4,-0.5230710120730786,2.3593001258370082e-4
43,true,0.9226038055661201,1.2492825608182912e-4,-0.5043588024066228,2.5431257093916506e-4
44,bfal,0.8616535788717667,2.5155716340121093e-4,-0.43523517223014646,0.0010895596094972935
44,gfal,0.9272987654054263,1.2639903078971745e-4,-0.44105821145203766,2.521147063349351e-4
44,qfal,0.9239459953773798,2.1900414183479032e-4,-0.5083400390024462,8.657552095035174e-4
44,super,0.9734908840159725,1.1892376738490971e-4,-0.5342246872797556,2.2397930345716257e-4
44,true,0.9264147007124985,1.2671204477454804e-4,-0.5081620844929097,2.4941384414757745e-4
45,bfal,0.851637703724366,2.547675269340117e-4,-0.44113431957330845,0.0010754674482523626
45,gfal,0.9134798076234639,1.2515919562728627e-4,-0.4710274522404882,2.580784028582962e-4
45,qfal,0.9116046669298946,2.216415692080457e-4,-0.5281379844077922,8.640134478514593e-4
45,super,0.9424688135601546,1.1874600872512742e-4,0.18529430035411787,0.5377437313110192
